"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","LinkGPStracking","_timescaledb_catalog","compression_algorithm","name",3,"name",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","public","risk_zones","source",5,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_aggs_materialization_invalidation_log","greatest_modified_value",3,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","bgw_job","config",14,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","gps_positions","satellites",7,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","gps_positions","geom",3,"USER-DEFINED",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_agg_migrate_plan","end_ts",3,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","device_status","metadata",7,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_5_chunk","altitude",6,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_job_stat","total_duration_failures",9,"interval",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_aggs_bucket_function","bucket_timezone",6,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_2_chunk","heading",5,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","compression_chunk_size","numrows_post_compression",10,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","chunk_column_stats","range_start",5,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_8_chunk","heading",5,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_1_chunk","metadata",10,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_6_chunk","altitude",6,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_4_chunk","heading",5,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_aggs_invalidation_threshold","watermark",2,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","bgw_job","timezone",17,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_1_chunk","accuracy",8,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","hypertable","compression_state",10,"smallint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","anomaly_models_ml","trained_to",6,"date",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_agg","direct_view_name",9,"name",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","tracked_devices","modo",8,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_agg","direct_view_schema",8,"name",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_6_chunk","heading",5,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","daily_routes_ml","date",3,"date",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_7_chunk","accuracy",8,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_4_chunk","altitude",6,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_job_stat","total_crashes",12,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_agg_migrate_plan_step","start_ts",4,"timestamp with time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_2_chunk","altitude",6,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_8_chunk","altitude",6,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_aggs_hypertable_invalidation_log","greatest_modified_value",3,"bigint",NULL,NULL,NULL,NULL,NULL
